EE Code,Fund Code,Fund Code Desc
A0SA,699,Crt Local Unrestricted
A0FE,650-22,Retreat
A0SN,605HD-22,Home Delivered
A1GQ,689L,Local Unrestricted
A08N,524EI-23,CEAP Early Intake
A1H2,375EIS-19,Coh Ryan White Early Intervention
A1VH,UNA,Unassigned
A1W8,514-19,Cafcs Ssbg
A05O,524-24,DSS CEAP Admin
A0WI,699,Crt Local Unrestricted
A1TH,UNA,Unassigned
A1TW,544-21,Oec Infanty Daycare
A1PD,661-18,ACF HeadStart PA22
A06R,650-23,Retreat
A1Y1,544-24,OEC Infant Daycare
A108,699,Crt Local Unrestricted
A0V8,524-21,Dss Ceap Admin
A1F3,UNA,Unassigned
A1OR,UNA,Unassigned
A0PK,419-25,COH SR Full Day
